国名,2016年,2015年,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年,2005年,2004年,2003年,2002年,2001年,2000年,1999年,1998年,1997年,1996年,1995年,1994年,1993年,1992年,1991年,1990年
Afghanistan,"19,454","20,079","20,616","20,170","20,293","17,890","15,325","12,066","10,297","8,556","6,925","6,167","5,146","4,553","4,367",...,...,...,...,...,...,...,...,...,...,...,...
Albania,"11,866","11,338","13,246","12,784","12,323","12,896","11,938","12,093","12,901","10,675","8,905","8,052","7,185","5,611","4,348","3,928","3,483","3,209","2,560","2,259","3,200","2,882","2,361","1,461",843,"1,333","2,221"
Algeria,"159,046","165,874","213,810","209,755","209,016","200,251","161,207","137,054","171,001","134,977","117,027","103,198","85,327","67,864","56,761","54,745","54,749","48,845","48,188","48,178","46,941","42,066","42,426","50,963","49,217","46,670","61,892"
Angola,"95,335","102,962","126,777","124,912","115,342","104,116","82,471","75,492","84,178","60,449","41,789","28,234","19,641","14,189","12,497","8,936","9,130","6,153","6,506","7,675","6,535","5,539","4,438","6,095","8,398","10,891","11,236"
Antigua and Barbuda,"1,460","1,365","1,280","1,193","1,211","1,142","1,152","1,224","1,368","1,311","1,157","1,022",920,856,815,801,830,766,728,681,634,577,589,535,499,482,459
Argentina,"544,735","631,621","563,614","611,471","579,666","527,644","424,728","334,633","363,545","287,920","232,892","199,273","164,922","138,151","108,731","291,738","308,491","307,673","324,242","317,549","295,120","280,080","279,150","256,365","247,987","205,515","153,205"
Armenia,"10,565","10,553","11,610","11,121","10,619","10,142","9,260","8,648","11,662","9,206","6,384","4,900","3,577","2,807","2,376","2,118","1,912","1,845","1,892","1,639","1,597","1,287",648,835,108,...,...
Australia,"1,261,645","1,229,938","1,449,521","1,509,705","1,561,175","1,504,225","1,249,648","997,159","1,057,113","949,146","781,947","734,846","657,431","540,421","424,522","376,928","399,276","411,822","381,104","426,662","425,588","379,781","353,223","309,640","318,139","324,594","323,929"
Austria,"386,587","377,157","439,073","428,382","407,677","429,431","390,940","398,602","429,638","386,995","334,603","315,188","300,264","261,220","213,725","197,123","196,998","217,010","217,994","212,610","236,828","240,747","203,514","189,958","195,069","174,045","166,493"
Azerbaijan,"37,556","50,818","75,194","73,557","68,700","64,819","52,913","44,289","46,378","33,090","21,027","13,273","8,682","7,276","6,232","5,475","5,273","4,581","4,280","3,963","3,177","2,417","2,258","1,309","1,193",...,...
Bahamas,"8,717","8,854","8,618","8,522","8,399","7,890","7,910","7,820","8,247","8,319","7,966","7,706","7,094","6,949","6,958","6,517","6,328","6,020","5,354","4,961","4,661","4,429","4,208","3,993","4,015","4,018","4,088"
Bahrain,"31,858","31,126","33,388","32,539","30,749","28,777","25,713","22,938","25,711","21,730","18,505","15,969","13,150","11,075","9,594","9,189","9,063","7,582","6,996","7,318","7,057","6,787","6,411","5,986","5,442","5,209","4,965"
Bangladesh,"228,388","206,695","183,966","161,297","141,705","131,079","122,039","108,896","97,062","85,604","75,770","70,921","68,593","63,204","57,500","54,755","54,586","53,984","51,928","50,340","48,168","45,921","41,538","38,234","36,476","36,468","35,383"
Barbados,"4,552","4,424","4,353","4,371","4,332","4,359","4,447","4,601","4,595","4,546","4,303","3,897","3,514","3,275","3,170","3,117","3,122","3,029","2,891","2,564","2,425","2,275","2,163","2,075","1,957","2,032","2,024"
Belarus,"47,388","56,329","78,736","75,496","65,669","61,368","57,220","49,191","60,746","45,275","36,963","30,211","23,141","17,812","14,654","12,421","12,758","11,678","14,589","13,543","13,953","10,179","15,152","11,020","12,364",...,...
Belgium,"466,559","455,219","532,596","520,280","498,160","527,491","484,449","485,781","521,084","472,476","410,173","388,029","371,387","319,614","259,777","238,046","238,602","260,545","260,970","255,169","281,468","289,904","239,931","219,932","230,030","206,535","201,235"
Belize,"1,740","1,743","1,707","1,614","1,574","1,487","1,398","1,339","1,370","1,291","1,217","1,114","1,058",990,933,872,832,732,689,654,641,620,581,560,518,445,412
Benin,"8,577","8,295","9,723","9,160","8,157","7,821","6,983","7,116","7,166","5,977","5,147","4,812","4,527","3,913","3,065","2,682","2,577","2,690","2,455","2,268","2,361","2,169","1,598","2,274","2,246","1,987","1,960"
Bhutan,"2,121","2,027","1,830","1,849","1,814","1,737","1,433","1,214","1,291","1,020",858,762,670,575,504,455,436,401,382,348,311,296,253,249,238,244,281
