,国名,1992年gdp,1994年gdp,1998年gdp,2002年gdp,2006年gdp,2010年gdp,2014年gdp,1992年pops,1994年pops,1998年pops,2002年pops,2006年pops,2010年pops,2014年pops,temperature,国名(日本),lati,long,1992point,1994point,1998point,2002point,2006point,2010point,1992年dist,1994年dist,1998年dist,2002年dist,2006年dist,2010年dist,2014年dist
0,Croatia,9.41311793733752,9.761347785375005,10.140415658820954,10.199100591564108,10.828480311704183,10.996517622908005,10.952226590708511,8.46252579007393,8.446556111816797,8.41027590907016,8.388677769180811,8.382975849296429,8.37309184744198,8.356789669923213,55.1,クロアチア,45.8130293,15.977894899999999,0,0,0,18,11,7,744.5121532438998,1740.0421343228923,9187.02750003223,7297.763815759839,653.0670535768514,7328.112524596631,1888.1625436564004
1,Spain,13.351269493204754,13.180302042324774,13.332556229257763,13.469695008217348,14.05110586341762,14.176158200276694,14.1361749347133,10.58448623804925,10.590767554818026,10.603957853475855,10.6451153255436,10.708332625096508,10.753424783860263,10.747702092945403,60.0,スペイン,40.4167754,-3.7037902000000003,1,0,0,0,0,0,1007.4717152190264,2497.869430686394,10616.38411618536,8902.133123323423,1063.6899944250933,8775.464029054398,3569.0398377371944
2,Kazakhstan,7.964155718840937,9.362975618399776,9.98160533180008,10.11204524552192,11.302253815151339,11.905291824488812,12.3078030804101,9.710024155323328,9.693877015504503,9.638935897473202,9.622913491543725,9.660906307329443,9.70503661381229,9.769327390849192,42.7,カザフスタン,51.1666667,71.4333333,0,11,2,0,0,3,4684.745805523861,3784.4733160809024,5390.5957430555345,3288.7251005548924,4635.32659739198,3610.7000402627837,2510.4713413068093
3,Slovenia,9.862717639992917,9.728181330636078,10.005502477942859,10.069171468177059,10.587139798534272,10.781120612719405,10.819478239401281,7.604396348796338,7.599401333415815,7.5953872788539725,7.5953872788539725,7.60339933974067,7.6236419465115715,7.6362696033793735,46.4,スロベニア,46.056450899999994,14.508070199999999,0,3,0,1,0,7,630.3741646992722,1696.0725861297126,9244.359240179687,7376.19602254239,543.1884610474824,7385.505569989081,2001.3848507890884
4,China,13.113669696635595,13.247182931926824,13.84756817730784,14.20585119910054,14.835912265145772,15.618267993901847,16.1701687062533,14.0011640576662,14.021705692844401,14.052512043022075,14.076834281256518,14.100095338756576,14.122815829851312,14.144894158033653,55.3,中国,39.90403,116.407526,9,5,20,20,27,35,8238.554453813738,6970.753696915444,1931.7669406817556,394.9687632657381,8207.217949851129,1170.4195548422404,6147.238208647952
5,France,14.160589224222237,14.155177685482006,14.22957723296682,14.224735256613588,14.660113218131633,14.79073903084759,14.864173560941085,10.959505443571818,10.968060348980714,10.985902706301667,11.005859431745387,11.028319742180267,11.051334351081936,11.069633871321608,52.3,フランス,48.856614,2.3522218999999995,31,7,18,37,25,25,466.8464433776698,1456.66703109832,9566.091818329114,7907.488393155537,584.1112894536703,7730.067376550626,2906.5316065595066
6,Austria,12.181113747488979,12.223494991222044,12.292227405728381,12.272450099793302,12.72070302203603,12.876311932441022,12.992423242772112,8.965973184210347,8.980675603671708,8.992433087457218,9.003931019653137,9.022322622637347,9.037295651962438,9.063463176115423,44.6,オーストリア,48.208174299999996,16.3738189,59,23,39,37,73,44,808.5369156099182,1484.2192796515187,8972.823358133197,7125.279005127873,750.0927482253106,7114.252625634852,1872.3247111413716
7,Switzerland,12.512409628079121,12.586978632137635,12.594232206041973,12.616770704503358,12.974144072144492,13.276340327855799,13.471977451972478,8.827028068509152,8.848222068371385,8.870101048785726,8.888066854754783,8.920255414908091,8.96610085736724,9.015662792972645,42.5,スイス,46.9479222,7.444608500000001,7,29,19,27,42,33,162.77515281446574,1588.4543467109418,9515.739628680709,7751.049751919164,209.83977113696054,7663.923722009323,2538.0787509753122
8,Denmark,11.937944803513554,11.958777272871643,12.083938909286516,12.093178265898805,12.55283461791787,12.68229440208914,12.772232687333368,8.551208070003515,8.558718938244736,8.575650760987806,8.589327789175437,8.602453035367061,8.622633703874234,8.642062173462106,46.0,デンマーク,55.676096799999996,12.568337099999999,0,0,3,0,0,0,1193.9124663522418,617.0804781565173,8541.439986312585,6897.8580528015045,1229.8481543200032,6702.760882573931,2350.855926932201
9,Poland,11.3931729912432,11.549103091088817,12.055546223472613,12.199450769221286,12.746281327940368,13.079794023807672,13.208640151305834,10.550407531729755,10.555422037261998,10.559944814778241,10.558023833968418,10.554301180079994,10.553831610770764,10.55304850493315,44.6,ポーランド,52.2296756,21.012228699999998,0,0,0,4,4,16,1290.1012756013565,1177.1182921305556,8423.72875106453,6612.789792285467,1260.1900216229365,6565.946902358844,1687.1084148261389
