,国・地域,略称,金,銀,銅,point
0,ロシア,(RUS),11,9,9,91
1,ノルウェー,(NOR),11,5,10,80
2,カナダ,(CAN),10,10,5,85
3,アメリカ合衆国,(USA),9,7,12,78
4,オランダ,(NED),8,7,9,70
5,ドイツ,(GER),8,6,5,63
6,スイス,(SUI),6,3,2,41
7,ベラルーシ,(BLR),5,0,1,26
8,オーストリア,(AUT),4,8,5,49
9,フランス,(FRA),4,4,7,39
10,ポーランド,(POL),4,1,1,24
11,中国,(CHN),3,4,2,29
12,韓国,(KOR),3,3,2,26
13,スウェーデン,(SWE),2,7,6,37
14,チェコ,(CZE),2,4,2,24
15,スロベニア,(SLO),2,2,4,20
16,日本,(JPN),1,4,3,20
17,フィンランド,(FIN),1,3,1,15
18,イギリス,(GBR),1,1,2,10
19,ウクライナ,(UKR),1,0,1,6
20,スロバキア,(SVK),1,0,0,5
21,イタリア,(ITA),0,2,6,12
22,ラトビア,(LAT),0,2,2,8
23,オーストラリア,(AUS),0,2,1,7
24,クロアチア,(CRO),0,1,0,3
25,カザフスタン,(KAZ),0,0,1,1
