国名,2016年,2015年,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年,2005年,2004年,2003年,2002年,2001年,2000年,1999年,1998年,1997年,1996年,1995年,1994年,1993年,1992年,1991年,1990年
Afghanistan,"34,656","33,736","32,758","31,732","30,697","29,709","28,803","28,004","27,294","26,617","25,893","25,071","24,119","23,065","21,980","20,966","20,094","19,404","18,864","18,382","17,823","17,100","16,173","15,095","13,981","12,994","12,249"
Albania,"2,926","2,923","2,921","2,919","2,920","2,927","2,941","2,963","2,992","3,024","3,054","3,079","3,098","3,111","3,119","3,122","3,122","3,116","3,104","3,093","3,092","3,107","3,141","3,190","3,241","3,275","3,281"
Algeria,"40,606","39,872","39,113","38,339","37,566","36,820","36,118","35,466","34,861","34,300","33,778","33,288","32,831","32,404","31,995","31,592","31,184","30,766","30,336","29,887","29,411","28,904","28,362","27,786","27,181","26,554","25,912"
American Samoa,56,56,55,55,55,55,56,56,57,58,59,59,59,59,59,58,58,57,56,55,54,53,52,51,50,48,47
Andorra,77,78,79,81,82,84,84,84,84,83,81,79,76,73,70,67,65,64,64,64,64,64,63,61,59,57,55
Angola,"28,813","27,859","26,920","25,998","25,096","24,219","23,369","22,550","21,759","20,998","20,262","19,553","18,866","18,203","17,573","16,983","16,441","15,950","15,504","15,089","14,682","14,269","13,841","13,404","12,968","12,553","12,171"
Anguilla,15,15,14,14,14,14,14,14,13,13,13,13,12,12,12,11,11,11,11,10,10,10,10,9,9,9,8
Antigua and Barbuda,101,100,99,98,97,96,95,94,92,91,90,89,88,87,86,85,84,82,80,78,76,74,72,70,68,67,67
Argentina,"43,847","43,418","42,982","42,540","42,097","41,657","41,224","40,799","40,382","39,970","39,559","39,145","38,729","38,309","37,889","37,472","37,057","36,648","36,242","35,834","35,420","34,995","34,558","34,111","33,655","33,194","32,730"
Armenia,"2,925","2,917","2,906","2,894","2,882","2,876","2,877","2,889","2,908","2,933","2,958","2,981","3,001","3,018","3,034","3,051","3,070","3,089","3,109","3,133","3,168","3,217","3,284","3,363","3,443","3,505","3,538"
Aruba,105,104,104,103,103,102,102,101,101,101,101,100,99,97,95,93,91,89,87,85,83,80,77,73,68,65,62
Australia,"24,126","23,800","23,475","23,151","22,822","22,480","22,120","21,739","21,342","20,947","20,574","20,239","19,948","19,697","19,475","19,269","19,066","18,864","18,665","18,468","18,272","18,077","17,883","17,687","17,486","17,272","17,041"
Austria,"8,712","8,679","8,633","8,578","8,518","8,460","8,410","8,370","8,338","8,312","8,285","8,254","8,217","8,176","8,134","8,098","8,069","8,051","8,041","8,033","8,018","7,990","7,947","7,892","7,831","7,773","7,724"
Azerbaijan,"9,725","9,617","9,504","9,385","9,265","9,146","9,032","8,924","8,822","8,724","8,630","8,539","8,449","8,361","8,277","8,197","8,123","8,054","7,990","7,926","7,856","7,775","7,684","7,582","7,472","7,358","7,243"
Bahamas,391,387,382,377,372,367,361,355,349,342,336,329,323,316,309,303,298,294,290,287,284,280,276,271,266,261,256
Bahrain,"1,425","1,372","1,336","1,315","1,300","1,278","1,241","1,185","1,115","1,036",958,889,830,779,735,698,665,637,614,595,579,564,550,536,523,510,496
