,height,width,kinds,min,max,mean,std,combo10
0,3,3,2,0,9,2.24,2.182292372712694,0
1,3,3,3,0,4,0.69,0.976678043164686,0
2,3,3,4,0,3,0.44,0.7116178749862878,0
3,3,3,5,0,4,0.32,0.6615134163416492,0
4,3,3,6,0,2,0.16,0.41761226035642196,0
5,3,3,7,0,2,0.11,0.3433656942677879,0
6,3,3,8,0,1,0.12,0.32496153618543844,0
7,3,3,9,0,1,0.1,0.3,0
8,3,4,2,0,15,3.82,3.263066042849884,9
9,3,4,3,0,5,1.27,1.2794920867281672,0
10,3,4,4,0,4,0.69,0.9766780431646859,0
11,3,4,5,0,2,0.42,0.6508456038109193,0
12,3,4,6,0,3,0.27,0.5264028875300742,0
13,3,4,7,0,2,0.17,0.4013726448077896,0
14,3,4,8,0,1,0.14,0.34698703145794946,0
15,3,4,9,0,3,0.18,0.45563142999578077,0
16,3,5,2,0,30,8.06,5.631731527691994,30
17,3,5,3,0,9,2.17,2.0102487408278606,0
18,3,5,4,0,9,1.01,1.3601102896456596,0
19,3,5,5,0,4,0.49,0.7415524256584964,0
20,3,5,6,0,2,0.26,0.5023942674832188,0
21,3,5,7,0,2,0.24,0.4923413450036469,0
22,3,5,8,0,2,0.25,0.47696960070847283,0
23,3,5,9,0,2,0.17,0.4013726448077896,0
24,3,6,2,0,53,12.09,10.268490638842692,46
25,3,6,3,0,12,3.08,2.476610587072582,3
26,3,6,4,0,5,1.25,1.3592277219068187,0
27,3,6,5,0,4,0.63,0.8792610533851709,0
28,3,6,6,0,3,0.41,0.6647555941848103,0
29,3,6,7,0,3,0.38,0.6289674077406555,0
30,3,6,8,0,4,0.35,0.6689544080129826,0
31,3,6,9,0,2,0.28,0.567097875150313,0
32,3,7,2,0,58,14.79,11.698970040136013,60
33,3,7,3,0,14,3.62,2.53684843851579,3
34,3,7,4,0,6,1.43,1.4439875345722346,0
35,3,7,5,0,4,1.01,1.0723339032223127,0
36,3,7,6,0,3,0.57,0.7107038764492565,0
37,3,7,7,0,5,0.55,0.9205976319760985,0
38,3,7,8,0,4,0.38,0.7180529228406496,0
39,3,7,9,0,3,0.25,0.5361902647381804,0
40,3,8,2,0,76,21.32,15.5954352295792,78
41,3,8,3,0,17,4.72,3.444067362871987,11
42,3,8,4,0,6,1.62,1.4884891669071698,0
43,3,8,5,0,6,1.01,1.284484332329515,0
44,3,8,6,0,5,0.62,0.8806815542521599,0
45,3,8,7,0,3,0.5,0.7416198487095663,0
46,3,8,8,0,4,0.46,0.6696267617113282,0
47,3,8,9,0,3,0.35,0.5894913061275798,0
48,3,9,2,0,145,27.77,23.35673564520522,78
49,3,9,3,0,19,5.07,3.811180919347703,11
50,3,9,4,0,14,2.64,2.174948275247023,1
51,3,9,5,0,5,1.18,1.152215257666726,0
52,3,9,6,0,5,0.91,1.1322102278287367,0
53,3,9,7,0,4,0.65,0.8170067319184096,0
54,3,9,8,0,3,0.49,0.7279423054061359,0
55,3,9,9,0,3,0.37,0.6108191221630179,0
56,4,3,2,0,18,4.3,3.6318039594669753,10
57,4,3,3,0,7,1.36,1.546091847207015,0
58,4,3,4,0,4,0.82,0.9526804291051643,0
59,4,3,5,0,2,0.42,0.6193545026880809,0
60,4,3,6,0,3,0.31,0.5948949487094338,0
61,4,3,7,0,1,0.2,0.4,0
62,4,3,8,0,2,0.23,0.44395945760846234,0
63,4,3,9,0,1,0.11,0.31288975694324034,0
64,4,4,2,0,22,6.77,5.362564684924555,25
65,4,4,3,0,10,2.07,2.173729513992024,1
66,4,4,4,0,5,1.23,1.2794920867281674,0
67,4,4,5,0,4,0.63,0.8678133439859059,0
68,4,4,6,0,2,0.34,0.5695612346359257,0
69,4,4,7,0,2,0.28,0.49152822909778027,0
70,4,4,8,0,3,0.26,0.5407402333838309,0
71,4,4,9,0,1,0.17,0.375632799419859,0
72,4,5,2,1,66,14.07,10.883248595892681,61
73,4,5,3,0,14,3.33,2.9122328203630974,4
74,4,5,4,0,6,1.76,1.4499655168313488,0
75,4,5,5,0,4,0.89,1.0667239567948215,0
76,4,5,6,0,4,0.6,0.7874007874011811,0
77,4,5,7,0,3,0.53,0.7931582439841371,0
78,4,5,8,0,2,0.36,0.6248199740725324,0
79,4,5,9,0,2,0.3,0.5385164807134504,0
80,4,6,2,2,99,28.82,21.081925908227646,81
81,4,6,3,0,23,5.46,3.981004898263754,14
82,4,6,4,0,6,1.76,1.6007498243010994,0
83,4,6,5,0,7,1.38,1.3474420210161178,0
84,4,6,6,0,6,0.82,1.0712609392673662,0
85,4,6,7,0,4,0.62,0.8692525524840291,0
86,4,6,8,0,4,0.54,0.7405403432629446,0
87,4,6,9,0,2,0.3,0.5196152422706631,0
88,4,7,2,1,245,43.67,38.99001282379886,88
89,4,7,3,0,24,6.35,4.334454983039967,22
90,4,7,4,0,9,2.31,2.194060163258975,0
91,4,7,5,0,7,1.68,1.4756693396557374,0
92,4,7,6,0,4,0.79,0.9725739046468398,0
93,4,7,7,0,3,0.62,0.7972452571197899,0
94,4,7,8,0,3,0.54,0.8416650165000326,0
95,4,7,9,0,3,0.37,0.6269768735766893,0
96,4,8,2,6,303,55.76,47.47380751530258,92
97,4,8,3,0,26,7.73,5.2570999610051174,30
98,4,8,4,0,11,3.4,2.4124676163629637,3
99,4,8,5,0,7,1.68,1.5929846201391902,0
100,4,8,6,0,10,1.28,1.5236797563792728,1
101,4,8,7,0,6,1.01,1.252956503634504,0
102,4,8,8,0,5,0.7,0.9327379053088813,0
103,4,8,9,0,3,0.59,0.8496469855181034,0
104,4,9,2,4,552,79.65,81.26590613535298,96
105,4,9,3,0,30,7.75,5.510671465438672,28
106,4,9,4,0,14,3.62,2.7632589455206693,4
107,4,9,5,0,9,2.07,1.8124844826921966,0
108,4,9,6,0,6,1.47,1.2919365309487925,0
109,4,9,7,0,4,0.91,0.9909086738948248,0
110,4,9,8,0,3,0.65,0.8411301920630361,0
111,4,9,9,0,3,0.57,0.7906326580656784,0
112,5,3,2,0,35,7.55,5.708546224740586,31
113,5,3,3,0,8,2.13,1.8036352181081405,0
114,5,3,4,0,5,1.05,1.2031209415515964,0
115,5,3,5,0,5,0.63,0.901720577562695,0
116,5,3,6,0,3,0.4,0.6324555320336758,0
117,5,3,7,0,3,0.31,0.6433506042586733,0
118,5,3,8,0,3,0.27,0.5631163290120436,0
119,5,3,9,0,2,0.15,0.40926763859362253,0
120,5,4,2,0,72,13.32,9.97484836977485,62
121,5,4,3,0,16,3.51,2.9034290072257662,4
122,5,4,4,0,7,1.67,1.456399670420177,0
123,5,4,5,0,6,0.96,1.1128342194594842,0
124,5,4,6,0,3,0.59,0.8257723657279892,0
125,5,4,7,0,2,0.53,0.6849087530467106,0
126,5,4,8,0,4,0.48,0.7807688518377255,0
127,5,4,9,0,2,0.3,0.5196152422706631,0
128,5,5,2,3,111,30.55,24.832790821814612,83
129,5,5,3,0,15,5.13,3.4659919215139556,9
130,5,5,4,0,8,1.96,2.044113499784197,0
131,5,5,5,0,6,1.52,1.4034243834279065,0
132,5,5,6,0,4,0.82,0.9526804291051643,0
133,5,5,7,0,3,0.44,0.7116178749862879,0
134,5,5,8,0,3,0.34,0.6359245238233858,0
135,5,5,9,0,2,0.35,0.51720402163943,0
136,5,6,2,3,226,56.6,48.836461788299125,93
137,5,6,3,0,20,6.49,4.055847630274096,18
138,5,6,4,0,11,3.02,2.485880125830689,2
139,5,6,5,0,6,1.61,1.6846067790437032,0
140,5,6,6,0,7,1.33,1.288836684766538,0
141,5,6,7,0,4,0.81,0.986863719061553,0
142,5,6,8,0,6,0.68,0.9682974749528165,0
143,5,6,9,0,2,0.31,0.5233545643251809,0
144,5,7,2,4,536,106.95,98.22640938159147,97
145,5,7,3,1,28,9.85,5.955459679991125,48
146,5,7,4,0,11,3.31,2.3566713814191402,1
147,5,7,5,0,6,1.96,1.5027973915335362,0
148,5,7,6,0,6,1.44,1.5383107618423528,0
149,5,7,7,0,5,0.93,1.1424097338520884,0
150,5,7,8,0,3,0.84,0.9457272334029512,0
151,5,7,9,0,4,0.57,0.8631917515824626,0
152,5,8,2,7,887,171.47,166.32982023678136,99
153,5,8,3,1,38,11.67,6.945581329161729,60
154,5,8,4,0,14,4.52,2.8547504269200137,7
155,5,8,5,0,9,2.61,2.0193810933055705,0
156,5,8,6,0,6,1.75,1.4857657958103625,0
157,5,8,7,0,5,1.33,1.281054253339803,0
158,5,8,8,0,4,0.79,0.9622369770487933,0
159,5,8,9,0,5,0.66,0.8742997197757757,0
160,5,9,2,22,1368,287.89,253.76433535861574,100
161,5,9,3,1,41,12.83,7.925976280560017,63
162,5,9,4,0,20,5.0,3.3852621759621515,8
163,5,9,5,0,10,3.14,2.20916273732833,1
164,5,9,6,0,11,1.99,1.705842900152297,1
165,5,9,7,0,5,1.33,1.3119070088996398,0
166,5,9,8,0,5,1.02,1.0952625256074453,0
167,5,9,9,0,4,0.67,0.9279547402756235,0
168,6,3,2,0,33,8.1,6.626462102811726,34
169,6,3,3,0,13,2.38,2.37815054191277,2
170,6,3,4,0,7,1.43,1.3285706605220515,0
171,6,3,5,0,4,0.59,0.8011866199581719,0
172,6,3,6,0,5,0.62,0.8919641248391105,0
173,6,3,7,0,3,0.31,0.702780193232564,0
174,6,3,8,0,2,0.25,0.5361902647381804,0
175,6,3,9,0,3,0.25,0.5361902647381804,0
176,6,4,2,3,84,24.31,17.015695695445427,83
177,6,4,3,0,20,4.59,3.4032190643565685,6
178,6,4,4,0,10,2.01,1.8734727113037968,1
179,6,4,5,0,7,1.12,1.505191017778142,0
180,6,4,6,0,4,0.7,1.014889156509222,0
181,6,4,7,0,5,0.58,0.885211839053229,0
182,6,4,8,0,3,0.3,0.574456264653803,0
183,6,4,9,0,3,0.33,0.6489221833163049,0
184,6,5,2,3,385,54.16,55.38261821185416,92
185,6,5,3,0,27,6.66,5.087671373035015,18
186,6,5,4,0,12,2.79,2.39706070010753,3
187,6,5,5,0,7,1.75,1.6515144564913744,0
188,6,5,6,0,5,1.11,1.3482952198980755,0
189,6,5,7,0,4,0.72,0.9173875952943773,0
190,6,5,8,0,3,0.59,0.7628237017817421,0
191,6,5,9,0,3,0.43,0.6819824044651005,0
192,6,6,2,11,428,106.76,76.81342590979783,100
193,6,6,3,2,40,10.67,7.644677887262484,41
194,6,6,4,0,12,3.98,2.901654700339101,5
195,6,6,5,0,7,1.81,1.5079456223617616,0
196,6,6,6,0,6,1.34,1.518025032731674,0
197,6,6,7,0,5,1.22,1.171153277756588,0
