J,NAME
1,コンサドーレ
1,ベガルタ
1,アントラーズ
1,FC東京
1,フロンターレ
1,松本山雅FC
1,エスパルス
1,ガンバ
1,ヴィッセル
1,サガン
1,ベガルタ
1,レッズ
1,F.マリノス
1,ベルマーレ
1,ジュビロ
1,グランパス
1,セレッソ
1,サンフレッチェ
1,トリニータ
2,モンテディオ
2,栃木SC
2,レイソル
2,ヴェルディ
2,横浜FC
2,アルビレックス
2,FC岐阜
2,ファジアーノ
2,ヴォルティス
2,アビスパ
2,鹿児島ユナイテッドFC
2,ホーリーホック
2,アルディージャ
2,ジェフユナイテッド
2,ゼルビア
2,ヴァンフォーレ
2,ツエーゲン
2,サンガ
2,レノファ
2,愛媛FC
2,V.ファーレン
2,FC琉球
3,いわてグルージャ盛岡
3,福島ユナイテッドFC
3,FC東京U-23
3,SC相模原
3,カターレ
3,ガンバ大阪U-23
3,ガイナーレ
3,ギラヴァンツ
3,アスルクラロ
3,ブラウブリッツ
3,ザスパクサツ
3,YSCC横浜
3,パルセイロ
3,藤枝MYFC
3,セレッソ
3,カマタマーレ
3,ロアッソ
3,ヴァンラーレ
